project,N,tp,fn,tn,fp,accuracy,precision,recall,f1,pass_accuracy,fail_accuracy,pass_rate,fail_rate,coin_accuracy,coin_f1,accuracy_improvement,out_vocab_C_ratio,out_vocab_T_ratio,out_vocab_combined_ratio
commons-vfs-2.9.0,17,14,0,0,3,0.8235,0.82,1.0,0.9032,1.0,0.0,0.8235,0.1765,0.6093,0.7321,0.2142,0.17,0.38,0.23
commons-imaging-1.0-alpha3-src,15,13,0,0,2,0.8667,0.87,1.0,0.9286,1.0,0.0,0.8667,0.1333,0.6798,0.7998,0.1869,0.18,0.42,0.24
commons-net-3.8.0,105,71,5,0,29,0.6762,0.71,0.93,0.8068,0.9342,0.0,0.7238,0.2762,0.553,0.6624,0.1232,0.2,0.29,0.23
bcel-6.5.0-src,503,417,19,6,61,0.841,0.87,0.96,0.9125,0.9564,0.0896,0.8668,0.1332,0.7215,0.8328,0.1195,0.17,0.38,0.23
commons-weaver-2.0-src,9,6,0,0,3,0.6667,0.67,1.0,0.8,1.0,0.0,0.6667,0.3333,0.554,0.6644,0.1127,0.17,0.4,0.24
commons-geometry-1.0-src,68,50,3,0,15,0.7353,0.77,0.94,0.8475,0.9434,0.0,0.7794,0.2206,0.6444,0.7687,0.0909,0.15,0.39,0.23
commons-validator-1.7,190,156,20,0,14,0.8211,0.92,0.89,0.9017,0.8864,0.0,0.9263,0.0737,0.7448,0.8496,0.0763,0.14,0.4,0.22
commons-rng-1.4-src,113,74,10,3,26,0.6814,0.74,0.88,0.8043,0.881,0.1034,0.7434,0.2566,0.6177,0.7412,0.0637,0.15,0.42,0.22
jsoup,1905,1793,2,2,108,0.9423,0.94,1.0,0.9702,0.9989,0.0182,0.9423,0.0577,0.8801,0.936,0.0622,0.06,0.44,0.22
commons-lang3-3.12.0-src,1915,1627,32,9,247,0.8543,0.87,0.98,0.921,0.9807,0.0352,0.8663,0.1337,0.7929,0.8829,0.0614,0.14,0.36,0.2
commons-configuration2-2.8.0-src,89,48,0,4,37,0.5843,0.56,1.0,0.7218,1.0,0.0976,0.5393,0.4607,0.556,0.6725,0.0283,0.19,0.4,0.22
http-request,12,12,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.9914,0.9957,0.0086,0.18,0.46,0.23
commons-jcs3-3.1-src,77,55,3,4,15,0.7662,0.79,0.95,0.8594,0.9483,0.2105,0.7532,0.2468,0.7645,0.8634,0.0017,0.16,0.38,0.2
commons-numbers-1.0-src,8732,8610,31,4,87,0.9865,0.99,1.0,0.9932,0.9964,0.044,0.9896,0.0104,0.9875,0.9937,-0.001,0.14,0.3,0.22
springside4,153,84,2,4,63,0.5752,0.57,0.98,0.721,0.9767,0.0597,0.5621,0.4379,0.5907,0.7138,-0.0155,0.15,0.37,0.22
commons-pool2-2.11.1-src,107,101,3,0,3,0.9439,0.97,0.97,0.9712,0.9712,0.0,0.972,0.028,0.9849,0.9924,-0.041,0.14,0.44,0.23
commons-beanutils-1.9.4,216,101,0,3,112,0.4815,0.47,1.0,0.6433,1.0,0.0261,0.4676,0.5324,0.5232,0.5947,-0.0417,0.18,0.47,0.22
commons-jexl3-3.2.1-src,80,39,0,0,41,0.4875,0.49,1.0,0.6555,1.0,0.0,0.4875,0.5125,0.6402,0.7635,-0.1527,0.17,0.45,0.22
spark,101,67,4,2,28,0.6832,0.71,0.94,0.8072,0.9437,0.0667,0.703,0.297,0.8595,0.924,-0.1763,0.21,0.39,0.23
joda-time,676,417,32,23,204,0.6509,0.67,0.93,0.7794,0.9287,0.1013,0.6642,0.3358,0.8816,0.9367,-0.2307,0.16,0.36,0.21
JSON-java,189,130,15,1,43,0.6931,0.75,0.9,0.8176,0.8966,0.0227,0.7672,0.2328,0.9681,0.9838,-0.275,0.16,0.45,0.21
scribejava,5,1,0,0,4,0.2,0.2,1.0,0.3333,1.0,0.0,0.2,0.8,0.4987,0.506,-0.2987,0.14,0.42,0.21
commons-dbutils-1.7,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.671,0.7916,-0.671,0.18,0.44,0.24
commons-collections4-4.4-src,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7841,0.877,-0.7841,0.12,0.44,0.22
all,15279,13886,181,65,1147,0.9131,0.92,0.99,0.9544,0.9871,0.0536,0.9207,0.0793,0.8367,0.9103,0.0764,0.14,0.32,0.22
