project,N,tp,fn,tn,fp,accuracy,f1,pass_accuracy,fail_accuracy,pass_rate,fail_rate,coin_accuracy,coin_f1,accuracy_improvement,out_vocab_C_ratio,out_vocab_T_ratio,out_vocab_combined_ratio
commons-jcs3-3.1-src,4,3,0,0,1,0.75,0.8571,1.0,0.0,0.75,0.25,0.629,0.7341,0.121,0.08,0.22,0.09
joda-time,58,31,6,4,17,0.6034,0.7294,0.8378,0.1905,0.6379,0.3621,0.5357,0.6339,0.0677,0.04,0.19,0.07
jsoup,27,25,1,1,0,0.963,0.9804,0.9615,1.0,0.963,0.037,0.9273,0.9619,0.0357,0.02,0.15,0.06
commons-configuration2-2.8.0-src,2,1,0,0,1,0.5,0.6667,1.0,0.0,0.5,0.5,0.4953,0.4097,0.0047,0.1,0.13,0.1
commons-net-3.8.0,3,3,0,0,0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.17,0.06,0.1
commons-rng-1.4-src,2,2,0,0,0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.07,0.09,0.08
springside4,1,1,0,0,0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.09,0.12,0.1
commons-lang3-3.12.0-src,86,84,1,0,1,0.9767,0.9882,0.9882,0.0,0.9884,0.0116,0.9767,0.9882,0.0,0.06,0.15,0.09
commons-validator-1.7,6,6,0,0,0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.07,0.17,0.1
commons-numbers-1.0-src,56,50,4,0,2,0.8929,0.9434,0.9259,0.0,0.9643,0.0357,0.9313,0.9642,-0.0384,0.06,0.14,0.08
bcel-6.5.0-src,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.12,0.07
JSON-java,15,0,15,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,-1.0,0.06,0.19,0.08
all,261,206,27,5,23,0.8084,0.8918,0.8841,0.1786,0.8927,0.1073,0.8235,0.9022,-0.0151,0.05,0.16,0.08
