project,N,tp,fn,tn,fp,accuracy,f1,pass_accuracy,fail_accuracy,pass_rate,fail_rate,coin_accuracy,coin_f1,accuracy_improvement,out_vocab_C_ratio,out_vocab_T_ratio
commons-weaver-2.0-src,232.0,129.0,25.0,30.0,48.0,0.6853,0.7795,0.8377,0.3846,0.6638,0.3362,0.5518,0.6625,0.1335,0.34,0.45
commons-jexl3-3.2.1-src,2946.0,1808.0,441.0,482.0,215.0,0.7773,0.8464,0.8039,0.6915,0.7634,0.2366,0.6451,0.7687,0.1322,0.27,0.45
commons-geometry-1.0-src,5438.0,3788.0,397.0,317.0,936.0,0.7549,0.8504,0.9051,0.253,0.7696,0.2304,0.6466,0.7708,0.1083,0.33,0.47
commons-rng-1.4-src,1641.0,1018.0,191.0,132.0,300.0,0.7008,0.8057,0.842,0.3056,0.7367,0.2633,0.6137,0.7375,0.0871,0.28,0.4
springside4,2590.0,1620.0,234.0,129.0,607.0,0.6753,0.7939,0.8738,0.1753,0.7158,0.2842,0.602,0.7246,0.0733,0.25,0.36
commons-beanutils-1.9.4,1708.0,917.0,86.0,72.0,633.0,0.579,0.7184,0.9143,0.1021,0.5872,0.4128,0.5138,0.5828,0.0652,0.24,0.4
async-http-client,163.0,101.0,15.0,6.0,41.0,0.6564,0.7829,0.8707,0.1277,0.7117,0.2883,0.594,0.7133,0.0624,0.38,0.49
commons-configuration2-2.8.0-src,1253.0,686.0,159.0,57.0,351.0,0.593,0.729,0.8118,0.1397,0.6744,0.3256,0.5625,0.6755,0.0305,0.28,0.44
commons-vfs-2.9.0,1072.0,607.0,173.0,73.0,219.0,0.6343,0.7559,0.7782,0.25,0.7276,0.2724,0.6045,0.7285,0.0298,0.33,0.45
commons-validator-1.7,2616.0,1925.0,298.0,70.0,323.0,0.7626,0.8611,0.8659,0.1781,0.8498,0.1502,0.7402,0.8468,0.0224,0.28,0.37
commons-net-3.8.0,3369.0,1864.0,369.0,90.0,1046.0,0.58,0.7249,0.8348,0.0792,0.6628,0.3372,0.5601,0.6658,0.0199,0.32,0.35
commons-lang3-3.12.0-src,12118.0,9476.0,1210.0,198.0,1234.0,0.7983,0.8858,0.8868,0.1383,0.8818,0.1182,0.7924,0.8821,0.0059,0.2,0.35
commons-jcs3-3.1-src,4562.0,3231.0,709.0,172.0,450.0,0.7459,0.8479,0.8201,0.2765,0.8637,0.1363,0.7598,0.8608,-0.0139,0.32,0.43
spark,5280.0,4326.0,561.0,67.0,326.0,0.832,0.907,0.8852,0.1705,0.9256,0.0744,0.8623,0.9257,-0.0303,0.36,0.51
bcel-6.5.0-src,15379.0,9517.0,3276.0,518.0,2068.0,0.6525,0.7808,0.7439,0.2003,0.8318,0.1682,0.7225,0.8334,-0.07,0.28,0.45
commons-numbers-1.0-src,39866.0,34420.0,5197.0,20.0,229.0,0.8639,0.9269,0.8688,0.0803,0.9938,0.0062,0.9872,0.9936,-0.1233,0.16,0.29
scribejava,182.0,47.0,46.0,17.0,72.0,0.3516,0.4434,0.5054,0.191,0.511,0.489,0.4986,0.5089,-0.147,0.32,0.46
joda-time,27480.0,19267.0,6441.0,323.0,1449.0,0.7129,0.83,0.7495,0.1823,0.9355,0.0645,0.8786,0.9351,-0.1657,0.29,0.49
commons-collections4-4.4-src,1389.0,823.0,394.0,36.0,136.0,0.6184,0.7564,0.6763,0.2093,0.8762,0.1238,0.7861,0.8783,-0.1677,0.45,0.46
commons-imaging-1.0-alpha3-src,2858.0,837.0,1443.0,106.0,472.0,0.33,0.4664,0.3671,0.1834,0.7978,0.2022,0.6776,0.798,-0.3476,0.3,0.47
commons-dbutils-1.7,731.0,177.0,400.0,51.0,103.0,0.3119,0.4131,0.3068,0.3312,0.7893,0.2107,0.67,0.7904,-0.3581,0.31,0.48
commons-pool2-2.11.1-src,11244.0,6484.0,4675.0,19.0,66.0,0.5784,0.7323,0.5811,0.2235,0.9924,0.0076,0.9845,0.9922,-0.4061,0.41,0.54
jsoup,8002.0,2850.0,4634.0,77.0,441.0,0.3658,0.529,0.3808,0.1486,0.9353,0.0647,0.8773,0.9344,-0.5115,0.08,0.43
JSON-java,12911.0,5680.0,7030.0,19.0,182.0,0.4414,0.6117,0.4469,0.0945,0.9844,0.0156,0.9689,0.9842,-0.5275,0.23,0.51
http-request,4069.0,1361.0,2690.0,3.0,15.0,0.3352,0.5016,0.336,0.1667,0.9956,0.0044,0.9907,0.9953,-0.6555,0.27,0.44
,,,,,,,,,,,,,,,0.24,0.41
all,169099.0,112959.0,41094.0,3084.0,11962.0,0.6862,0.8098,0.7332,0.205,0.911,0.089,0.8386,0.9114,-0.1524,,
