project,N,tp,fn,tn,fp,accuracy,f1,pass_accuracy,fail_accuracy,pass_rate,fail_rate,coin_accuracy,coin_f1,accuracy_improvement,out_vocab_C_ratio,out_vocab_T_ratio,out_vocab_combined_ratio
commons-jcs3-3.1-src,5,4,0,0,1,0.8,0.8889,1.0,0.0,0.8,0.2,0.6837,0.7918,0.1163,0.08,0.14,0.09
commons-lang3-3.12.0-src,176,124,1,0,51,0.7045,0.8267,0.992,0.0,0.7102,0.2898,0.5893,0.7116,0.1152,0.03,0.16,0.04
commons-numbers-1.0-src,100,82,0,0,18,0.82,0.9011,1.0,0.0,0.82,0.18,0.7116,0.824,0.1084,0.06,0.14,0.08
jsoup,58,34,0,2,22,0.6207,0.7556,1.0,0.0833,0.5862,0.4138,0.5223,0.5912,0.0984,0.05,0.18,0.08
JSON-java,17,15,0,0,2,0.8824,0.9375,1.0,0.0,0.8824,0.1176,0.7975,0.8838,0.0849,0.07,0.18,0.08
joda-time,79,40,3,4,32,0.557,0.6957,0.9302,0.1111,0.5443,0.4557,0.5041,0.5425,0.0529,0.03,0.16,0.05
commons-validator-1.7,6,6,0,0,0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.07,0.17,0.1
commons-net-3.8.0,3,3,0,0,0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.17,0.06,0.1
commons-rng-1.4-src,2,2,0,0,0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.07,0.09,0.08
commons-configuration2-2.8.0-src,2,1,0,0,1,0.5,0.6667,1.0,0.0,0.5,0.5,0.5088,0.4257,-0.0088,0.1,0.13,0.1
commons-jexl3-3.2.1-src,11,10,1,0,0,0.9091,0.9524,0.9091,0.0,1.0,0.0,1.0,1.0,-0.0909,0.05,0.18,0.06
springside4,8,1,0,0,7,0.125,0.2222,1.0,0.0,0.125,0.875,0.7826,0.1098,-0.6576,0.09,0.11,0.1
bcel-6.5.0-src,5,0,0,0,5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.12,0.06
commons-pool2-2.11.1-src,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.06,0.18,0.1
all,473,322,5,6,140,0.6934,0.8162,0.9847,0.0411,0.6913,0.3087,0.6562,0.7854,0.0372,0.04,0.16,0.06
