phase2_index,sim_score,triplets_index
86550,0.88,129171
87173,0.8519,129372
86599,0.8276,131213
98584,0.7967,129372
87277,0.7826,129770
98597,0.7805,129372
98591,0.7805,129372
98577,0.7805,129372
86598,0.7723,131319
86597,0.7429,129691
86338,0.7238,131319
87157,0.6939,128371
86596,0.6783,131319
86339,0.6769,128387
86030,0.6724,128577
86982,0.6667,131237
87166,0.6631,93254
89971,0.656,128387
86031,0.6555,128577
90037,0.6508,128387
86204,0.6457,91593
95611,0.6452,131142
87172,0.6348,129372
95897,0.6313,129554
86551,0.6298,129171
86205,0.6212,91593
86289,0.6209,131218
85843,0.6154,128371
87276,0.6119,91688
95652,0.6119,129128
86352,0.6087,129523
95623,0.6074,129128
93248,0.6071,129372
93261,0.6071,129372
93256,0.6071,129372
90661,0.5989,129171
87551,0.5984,128573
87544,0.5984,128573
87552,0.5981,129689
87543,0.5981,129689
85842,0.593,128371
95870,0.5892,129554
93268,0.5882,129372
86041,0.5766,128574
86246,0.5726,131130
86240,0.5723,129554
86247,0.5662,131138
89865,0.5645,128573
86397,0.5641,129138
86040,0.5612,128577
89859,0.5577,129689
98316,0.5572,131130
90912,0.5535,129554
98312,0.5491,131130
98323,0.5491,131130
86241,0.5471,129554
86733,0.5364,129123
86732,0.5364,129123
98307,0.5329,131130
86931,0.5273,128575
86729,0.5104,128579
86806,0.5073,129476
89533,0.5046,129554
86524,0.4984,91464
95709,0.4907,91464
85571,0.4842,129554
86525,0.4841,91464
90834,0.4797,129835
86322,0.4791,129122
85572,0.4789,129554
86248,0.4781,129838
94181,0.4747,129551
94085,0.4747,129551
94363,0.4677,129551
94537,0.4677,129551
95697,0.4651,129663
86546,0.4574,131268
85573,0.4568,129554
87250,0.4563,129153
86288,0.4479,131218
93085,0.4444,92743
92965,0.4419,129168
93017,0.4419,129168
86323,0.4414,129122
89532,0.441,92743
92995,0.4407,129168
92973,0.4394,129168
93020,0.4375,92743
87264,0.4358,131298
86708,0.4304,129771
85518,0.4149,128379
98189,0.4104,94042
98211,0.4104,94042
87251,0.4089,94042
86396,0.4066,129523
85519,0.3881,92049
86363,0.3864,129123
86709,0.3837,129775
86362,0.3836,129123
86354,0.3814,131154
86350,0.3632,131154
86351,0.359,129663
90109,0.3458,129499
98355,0.3448,129663
86807,0.3428,129476
90436,0.3419,129499
86711,0.3387,131206
87175,0.3358,129847
86249,0.3293,129838
93748,0.3211,129129
93150,0.3188,131206
87020,0.3135,129129
86710,0.3126,131206
98361,0.3047,129523
98349,0.302,129523
98343,0.3012,129523
86353,0.3012,129523
95009,0.3006,131193
93412,0.2971,129129
98367,0.2963,131154
98383,0.2956,131154
98377,0.2956,131154
93207,0.2917,131206
86355,0.2897,131154
98373,0.2871,131154
90636,0.283,129476
90619,0.282,129476
90629,0.2797,129476
90644,0.2797,129476
86245,0.2766,131160
86983,0.2746,131298
93161,0.2707,131206
86693,0.2536,131311
95043,0.2516,92772
95028,0.2516,92772
95014,0.2516,92772
95058,0.2516,92772
86676,0.2515,131311
86728,0.2462,129689
86677,0.2447,131193
86692,0.244,131193
85575,0.2439,131271
86410,0.2427,129476
93241,0.2332,129129
98389,0.2328,131206
98331,0.2307,129838
98327,0.2307,129838
87170,0.2299,129372
94834,0.2256,131268
94788,0.2256,131268
94802,0.2252,131268
98339,0.2236,129838
87156,0.2227,131193
86343,0.2192,129129
86342,0.2185,129129
87167,0.2145,94042
98522,0.2132,131206
98423,0.2132,131206
95681,0.2114,129153
95687,0.2114,129153
95684,0.2114,129153
98758,0.2111,129168
98460,0.2109,131206
86519,0.2108,91464
86919,0.2103,131160
87265,0.2102,129122
94816,0.2065,131268
86207,0.1992,131199
86206,0.1992,131199
87290,0.1972,131154
86545,0.1962,129372
95210,0.1953,131203
95191,0.1953,131203
95252,0.1953,131203
95231,0.1953,131203
86970,0.1947,129554
98564,0.1939,129372
98573,0.1939,129372
98560,0.1939,129372
98568,0.1939,129372
86971,0.1938,129554
98335,0.1927,129838
90133,0.1926,131243
90152,0.1921,131243
89629,0.1916,131268
89610,0.1916,131268
89666,0.1912,131268
89648,0.1912,131268
90124,0.1905,131243
90143,0.1905,131243
85605,0.1902,131243
95314,0.19,131203
95334,0.19,131203
95294,0.19,131203
95273,0.19,131203
86936,0.1887,129494
86544,0.188,129372
90306,0.1873,131203
95695,0.1871,129168
90332,0.1871,131203
87171,0.1861,129372
86244,0.1841,131130
86412,0.1828,131243
85574,0.1813,129551
90947,0.1812,129129
85604,0.1793,131243
94864,0.1785,91464
94868,0.1785,91464
94866,0.1785,91464
86547,0.1785,129168
87291,0.1778,128387
90376,0.1771,131268
90359,0.1771,131268
90393,0.1764,131268
90412,0.1764,131268
85844,0.1749,129877
86976,0.1732,129473
93244,0.1732,129473
86918,0.1677,129691
87253,0.1661,129129
87174,0.1654,131319
86977,0.164,129473
87252,0.1623,129129
95693,0.1608,131192
86700,0.1605,129494
90104,0.1603,129697
86702,0.1595,129494
90854,0.1591,131192
85845,0.1586,128450
86701,0.1586,129494
86703,0.1577,129494
86346,0.1561,129129
86347,0.1552,129129
98604,0.1514,129663
93300,0.1513,129473
98912,0.1511,129663
90856,0.1507,131255
98612,0.1506,131298
90114,0.1498,129734
90447,0.1479,129734
93280,0.1449,129663
93286,0.1425,129663
93293,0.1423,129663
93273,0.1423,129663
86265,0.142,129554
86294,0.1416,129168
87254,0.1415,129554
92307,0.1414,91506
87021,0.1356,129538
86938,0.1352,128507
90166,0.1349,129138
90235,0.1349,129138
90652,0.1336,129168
86071,0.1329,129538
95820,0.1319,129473
86532,0.1302,129663
86264,0.1299,129663
85773,0.1287,129643
85520,0.1284,129691
90269,0.1284,129138
86049,0.128,91503
86518,0.1264,129663
86811,0.1259,91503
86048,0.1255,91503
86070,0.1254,129538
86199,0.1241,129161
90649,0.1241,131298
90655,0.1238,131298
85821,0.1229,129524
95828,0.1199,129473
95843,0.1194,129473
90658,0.1194,131298
87426,0.1189,129499
87425,0.1183,129499
86218,0.1178,129473
86038,0.1178,129129
98281,0.1174,129267
98294,0.1174,129267
98256,0.1174,129267
98269,0.1172,129267
88078,0.1161,131192
90201,0.1152,129554
93306,0.1125,131218
93389,0.1123,131218
93369,0.1123,131218
87029,0.1122,129168
93326,0.1121,131218
86381,0.1109,129129
88077,0.1098,131192
94760,0.1097,129129
87028,0.109,129168
86959,0.1087,91506
95835,0.1086,129129
86380,0.1085,129129
87255,0.1085,129663
94727,0.1084,129129
85772,0.1083,129643
86220,0.1082,129129
94887,0.108,129643
94870,0.108,129643
94921,0.108,129643
86295,0.1076,129123
94904,0.1067,129643
86601,0.1065,128467
85775,0.1034,129643
86600,0.103,128397
95459,0.1025,128467
95573,0.1025,128467
95535,0.1025,128467
95497,0.1025,128467
86791,0.102,128467
93230,0.1011,129538
86930,0.1001,128467
95851,0.0998,129564
87014,0.0995,129129
87015,0.0992,129835
94860,0.0987,129835
86221,0.0983,129129
94848,0.0977,129129
94852,0.0977,129129
94700,0.0977,128467
94856,0.0977,129129
85820,0.0976,131175
94713,0.0976,128467
86219,0.0976,129473
85774,0.0935,129654
90940,0.0935,129499
94973,0.0932,129654
94938,0.0932,129654
94956,0.0932,129654
94991,0.0932,129654
86940,0.0931,129468
86941,0.0929,129468
86790,0.0924,128467
87078,0.0897,131193
86408,0.0889,129554
86409,0.088,131206
99057,0.0877,128467
99068,0.0877,128467
99079,0.0877,128467
99089,0.0877,128467
90888,0.0875,129129
86592,0.087,129267
86593,0.087,129267
86198,0.0865,129124
90904,0.0864,129129
90499,0.0859,131193
90459,0.0858,131193
90539,0.0858,131193
90579,0.0858,131193
95855,0.0841,129468
95865,0.0838,129468
87221,0.0826,129538
95860,0.0825,129468
90945,0.0819,129499
95425,0.0809,131193
95391,0.0809,131193
95357,0.0809,131193
87079,0.0802,131193
86039,0.0798,129663
90450,0.0776,129170
90451,0.0772,129170
89728,0.076,129643
89770,0.0759,129643
89684,0.0759,129643
89815,0.0759,129643
90858,0.0751,129473
87783,0.0744,129525
87784,0.0738,91688
90121,0.0729,129554
88376,0.0718,129643
95356,0.0715,129170
87396,0.0715,129170
90123,0.0714,129554
90120,0.0712,129554
90122,0.0712,129554
87220,0.0707,131154
90875,0.0702,129168
87696,0.0695,129496
90942,0.066,129129
90117,0.0653,129663
90119,0.0653,129663
95354,0.0641,131196
90118,0.0638,129663
90458,0.0634,129643
86437,0.0633,129654
86436,0.0633,129654
90453,0.063,129643
88366,0.0626,131196
90456,0.062,131196
85911,0.0618,129129
90881,0.0605,91688
85910,0.0598,129129
95355,0.0597,131196
87395,0.0595,131196
87840,0.0593,128619
88377,0.0592,131196
90896,0.0579,91688
95190,0.0558,128619
85970,0.0556,131196
87839,0.0543,128619
90864,0.0541,131194
87695,0.053,128619
95189,0.0525,129643
90870,0.0517,131268
90163,0.0512,128619
90165,0.0512,128619
89965,0.0507,128375
89959,0.0507,128375
89957,0.0507,128375
89953,0.0507,128375
89901,0.0503,128375
89917,0.0503,128375
89935,0.0503,128375
89885,0.0503,128375
89471,0.0486,128375
88446,0.0477,128375
88447,0.0472,129141
95692,0.047,131196
86621,0.0466,131196
90831,0.0454,129643
95073,0.0453,131196
95102,0.0453,131196
95131,0.0453,131196
95160,0.0453,131196
90829,0.045,129643
86620,0.0449,131196
90833,0.0449,129643
95737,0.0446,129476
95757,0.0446,129476
95778,0.0446,129476
95800,0.0446,129476
85533,0.0441,129476
85971,0.0439,129476
85534,0.041,131158
90433,0.041,129057
90430,0.0409,129057
90435,0.0393,131293
90853,0.0379,129643
