,method,test
0,,"  public void test0()  throws Throwable  {
      JexlOperator[] jexlOperatorArray0 = JexlOperator.values();
}"
1,"    public int getArity() {
        return arity;
    }","  public void test1()  throws Throwable  {
      JexlOperator jexlOperator0 = JexlOperator.valueOf(""PROPERTY_SET"");
}"
2,"    public final String getMethodName() {
        return methodName;
    }","  public void test2()  throws Throwable  {
      JexlOperator jexlOperator0 = JexlOperator.ASSIGN;
      String string0 = jexlOperator0.getMethodName();
}"
3,"    public final JexlOperator getBaseOperator() {
        return base;
    }","  public void test3()  throws Throwable  {
      JexlOperator jexlOperator0 = JexlOperator.SELF_AND;
      JexlOperator jexlOperator1 = jexlOperator0.getBaseOperator();
}"
4,"    public final String getOperatorSymbol() {
        return operator;
    }","  public void test4()  throws Throwable  {
      JexlOperator jexlOperator0 = JexlOperator.AND;
      String string0 = jexlOperator0.getOperatorSymbol();
}"
5,"    public int getArity() {
        return arity;
    }","  public void test5()  throws Throwable  {
      JexlOperator jexlOperator0 = JexlOperator.AND;
      int int0 = jexlOperator0.getArity();
}"
6,"    public final JexlOperator getBaseOperator() {
        return base;
    }","  public void test6()  throws Throwable  {
      JexlOperator jexlOperator0 = JexlOperator.AND;
      jexlOperator0.getBaseOperator();
  }"
7,"    public final String getMethodName() {
        return methodName;
    }","  public void test7()  throws Throwable  {
      JexlOperator jexlOperator0 = JexlOperator.AND;
      String string0 = jexlOperator0.getMethodName();
}"
8,"    public Object resolveNamespace(final String name) {
        if (name == null || name.isEmpty()) {
            return object;
        }
        return null;
    }","  public void test0()  throws Throwable  {
      ObjectContext<Object> objectContext0 = new ObjectContext<Object>((JexlEngine) null, ""/o5RD[|:PO(uq"");
      Object object0 = objectContext0.resolveNamespace("""");
}"
9,"    protected T getObject() {
        return object;
    }","  public void test1()  throws Throwable  {
      Integer integer0 = new Integer((-726));
      ObjectContext<Object> objectContext0 = new ObjectContext<Object>((JexlEngine) null, integer0);
      Object object0 = objectContext0.getObject();
}"
10,"    public void set(final String name, final Object value) {
        final JexlPropertySet jset = jexl.getUberspect().getPropertySet(object, name, value);
        if (jset != null) {
            try {
                jset.invoke(object, value);
            } catch (final Exception xany) {
                // ignore
                if (jexl.isStrict()) {
                    throw new JexlException.Property(null, name, true, xany);
                }
            }
        }
    }","  public void test2()  throws Throwable  {
      ObjectContext<String> objectContext0 = new ObjectContext<String>((JexlEngine) null, ""org.apache.commons.jexl3.ObjectContext"");
      // Undeclared exception!
      try { 
        objectContext0.set(""/o5RD[|:PO(uq"", ""/o5RD[|:PO(uq"");
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""org.apache.commons.jexl3.ObjectContext"", e);
      }
  }"
11,"    public boolean has(final String name) {
        final JexlPropertyGet jget = jexl.getUberspect().getPropertyGet(object, name);
        try {
            return jget != null && jget.invoke(object) != null;
        } catch (final Exception xany) {
            return false;
        }
    }","  public void test3()  throws Throwable  {
      Integer integer0 = new Integer((-726));
      ObjectContext<Object> objectContext0 = new ObjectContext<Object>((JexlEngine) null, integer0);
      // Undeclared exception!
      try { 
        objectContext0.has(""=#1"");
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""org.apache.commons.jexl3.ObjectContext"", e);
      }
  }"
12,"    public Object get(final String name) {
        final JexlPropertyGet jget = jexl.getUberspect().getPropertyGet(object, name);
        if (jget != null) {
            try {
                return jget.invoke(object);
            } catch (final Exception xany) {
                if (jexl.isStrict()) {
                    throw new JexlException.Property(null, name, true, xany);
                }
            }
        }
        return null;
    }","  public void test4()  throws Throwable  {
      ObjectContext<Object> objectContext0 = new ObjectContext<Object>((JexlEngine) null, (Object) null);
      // Undeclared exception!
      try { 
        objectContext0.get(""org.apache.commons.jexl3.parser.SimpleNode"");
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""org.apache.commons.jexl3.ObjectContext"", e);
      }
  }"
13,"    public Object resolveNamespace(final String name) {
        if (name == null || name.isEmpty()) {
            return object;
        }
        return null;
    }","  public void test5()  throws Throwable  {
      ObjectContext<Object> objectContext0 = new ObjectContext<Object>((JexlEngine) null, (Object) null);
      Object object0 = objectContext0.resolveNamespace("""");
}"
14,"    public Object resolveNamespace(final String name) {
        if (name == null || name.isEmpty()) {
            return object;
        }
        return null;
    }","  public void test6()  throws Throwable  {
      ObjectContext<String> objectContext0 = new ObjectContext<String>((JexlEngine) null, (String) null);
      Object object0 = objectContext0.resolveNamespace(""_"");
}"
