,method,test
0,"    public void setSoLinger(final boolean on, final int val) throws SocketException
    {
        _socket_.setSoLinger(on, val);
    }","  public void test0()  throws Throwable  {
      FTPSClient fTPSClient0 = new FTPSClient(""\r\n"", false);
      // Undeclared exception!
      try { 
        fTPSClient0.setSoLinger(false, 3144);
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""org.apache.commons.net.SocketClient"", e);
      }
  }"
1,"    public void connect(final InetAddress host, final int port)
    throws SocketException, IOException
    {
        _hostname_ = null;
        _connect(host, port, null, -1);
    }","  public void test1()  throws Throwable  {
      POP3Client pOP3Client0 = new POP3Client();
      pOP3Client0.setSendBufferSize((-112));
      InetAddress inetAddress0 = MockInetAddress.getByName(""Unknown parser type: "");
      // Undeclared exception!
      try { 
        pOP3Client0.connect(inetAddress0, (-112));
        fail(""Expecting exception: IllegalArgumentException"");
      } catch(IllegalArgumentException e) {
         //
         // negative send size
         //
         verifyException(""java.net.Socket"", e);
      }
  }"
2,"    public void connect(final InetAddress host, final int port)
    throws SocketException, IOException
    {
        _hostname_ = null;
        _connect(host, port, null, -1);
    }","  public void test2()  throws Throwable  {
      AuthenticatingIMAPClient authenticatingIMAPClient0 = new AuthenticatingIMAPClient(false);
      byte[] byteArray0 = new byte[4];
      authenticatingIMAPClient0.setReceiveBufferSize((byte) (-96));
      InetAddress inetAddress0 = MockInetAddress.getByAddress("""", byteArray0);
      // Undeclared exception!
      try { 
        authenticatingIMAPClient0.connect(""9U6?qu|"", (-1060), inetAddress0, (-1060));
        fail(""Expecting exception: IllegalArgumentException"");
      } catch(IllegalArgumentException e) {
         //
         // invalid receive size
         //
         verifyException(""java.net.Socket"", e);
      }
  }"
3,"    public void connect(final InetAddress host, final int port)
    throws SocketException, IOException
    {
        _hostname_ = null;
        _connect(host, port, null, -1);
    }","  public void test3()  throws Throwable  {
    Future<?> future = executor.submit(new Runnable(){ 
            @Override public void run() { 
        try {
          AuthenticatingSMTPClient authenticatingSMTPClient0 = new AuthenticatingSMTPClient(""TLS"", ""\r\n"");
          InetAddress inetAddress0 = MockInetAddress.getLoopbackAddress();
          // Undeclared exception!
          try { 
            authenticatingSMTPClient0.connect(inetAddress0, 143, inetAddress0, 993);
            fail(""Expecting exception: SecurityException"");
          } catch(SecurityException e) {
             //
             // Security manager blocks (\""java.net.SocketPermission\"" \""localhost:993\"" \""listen,resolve\"")
             // java.lang.Thread.getStackTrace(Thread.java:1559)
             // org.evosuite.runtime.sandbox.MSecurityManager.checkPermission(MSecurityManager.java:434)
             // java.lang.SecurityManager.checkListen(SecurityManager.java:1131)
             // java.net.Socket.bind(Socket.java:660)
             // org.apache.commons.net.SocketClient._connect(SocketClient.java:251)
             // org.apache.commons.net.SocketClient.connect(SocketClient.java:236)
             // sun.reflect.GeneratedMethodAccessor297.invoke(Unknown Source)
             // sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
             // java.lang.reflect.Method.invoke(Method.java:498)
             // org.evosuite.testcase.statements.MethodStatement$1.execute(MethodStatement.java:257)
             // org.evosuite.testcase.statements.AbstractStatement.exceptionHandler(AbstractStatement.java:169)
             // org.evosuite.testcase.statements.MethodStatement.execute(MethodStatement.java:220)
             // org.evosuite.testcase.execution.TestRunnable.executeStatements(TestRunnable.java:307)
             // org.evosuite.testcase.execution.TestRunnable.call(TestRunnable.java:213)
             // org.evosuite.testcase.execution.TestRunnable.call(TestRunnable.java:55)
             // java.util.concurrent.FutureTask.run(FutureTask.java:266)
             // java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1149)
             // java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:624)
             // java.lang.Thread.run(Thread.java:748)
             //
             verifyException(""org.evosuite.runtime.sandbox.MSecurityManager"", e);
          }
        } catch(Throwable t) {
            // Need to catch declared exceptions
        }
      } 
    });
    future.get(4000, TimeUnit.MILLISECONDS);
  }"
4,"    public void connect(final InetAddress host, final int port)
    throws SocketException, IOException
    {
        _hostname_ = null;
        _connect(host, port, null, -1);
    }","  public void test4()  throws Throwable  {
      AuthenticatingSMTPClient authenticatingSMTPClient0 = new AuthenticatingSMTPClient();
      InetAddress inetAddress0 = MockInetAddress.getByName("""");
      // Undeclared exception!
      try { 
        authenticatingSMTPClient0.connect(inetAddress0, (-1));
        fail(""Expecting exception: IllegalArgumentException"");
      } catch(IllegalArgumentException e) {
         //
         // port out of range:-1
         //
         verifyException(""java.net.InetSocketAddress"", e);
      }
  }"
5,"    public boolean verifyRemote(final Socket socket)
    {
        final InetAddress host1;
        final InetAddress host2;

        host1 = socket.getInetAddress();
        host2 = getRemoteAddress();

        return host1.equals(host2);
    }","  public void test5()  throws Throwable  {
      FTPSClient fTPSClient0 = new FTPSClient();
      MockSocket mockSocket0 = new MockSocket();
      // Undeclared exception!
      try { 
        fTPSClient0.verifyRemote(mockSocket0);
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""org.apache.commons.net.SocketClient"", e);
      }
  }"
6,"    public int getDefaultTimeout()
    {
        return _timeout_;
    }","  public void test6()  throws Throwable  {
      NNTPClient nNTPClient0 = new NNTPClient();
      MockPrintStream mockPrintStream0 = new MockPrintStream(""\r\n"");
      MockPrintWriter mockPrintWriter0 = new MockPrintWriter(mockPrintStream0);
      PrintCommandListener printCommandListener0 = new PrintCommandListener(mockPrintWriter0, false);
      nNTPClient0.removeProtocolCommandListener(printCommandListener0);
}"
7,"    public int getDefaultPort()
    {
        return _defaultPort_;
    }","  public void test7()  throws Throwable  {
      NNTPClient nNTPClient0 = new NNTPClient();
      MockPrintStream mockPrintStream0 = new MockPrintStream(""\r\n"");
      MockPrintWriter mockPrintWriter0 = new MockPrintWriter(mockPrintStream0);
      PrintCommandListener printCommandListener0 = new PrintCommandListener(mockPrintWriter0, false);
      nNTPClient0.removeProtocolCommandListener(printCommandListener0);
}"
8,"    public int getConnectTimeout() {
        return connectTimeout;
    }","  public void test8()  throws Throwable  {
      NNTPClient nNTPClient0 = new NNTPClient();
      MockPrintStream mockPrintStream0 = new MockPrintStream(""\r\n"");
      MockPrintWriter mockPrintWriter0 = new MockPrintWriter(mockPrintStream0);
      PrintCommandListener printCommandListener0 = new PrintCommandListener(mockPrintWriter0, false);
      nNTPClient0.removeProtocolCommandListener(printCommandListener0);
}"
9,"    public int getDefaultTimeout()
    {
        return _timeout_;
    }","  public void test9()  throws Throwable  {
      NNTPClient nNTPClient0 = new NNTPClient();
      nNTPClient0.setDefaultTimeout((-2997));
      int int0 = nNTPClient0.getDefaultTimeout();
}"
