,method,test
0,"    public boolean process(final WeaveEnvironment environment, final Scanner scanner) {
        return new Normalizer(environment).normalize(scanner);
    }","  public void test0()  throws Throwable  {
      NormalizerWeaver normalizerWeaver0 = new NormalizerWeaver();
      WeaveEnvironment weaveEnvironment0 = mock(WeaveEnvironment.class, new ViolatedAssumptionAnswer());
      Scanner scanner0 = mock(Scanner.class, new ViolatedAssumptionAnswer());
      // Undeclared exception!
      try { 
        normalizerWeaver0.process(weaveEnvironment0, scanner0);
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""org.apache.commons.weaver.normalizer.Normalizer"", e);
      }
  }"
1,"    static Set<Class<?>> parseTypes(final String types, final ClassLoader classLoader) {
        final Set<Class<?>> result = new LinkedHashSet<>();
        for (final String token : StringUtils.splitByWholeSeparatorPreserveAllTokens(types, "","")) {
            try {
                result.add(ClassUtils.getClass(classLoader, token.trim().replace('/', '.')));
            } catch (final ClassNotFoundException e) {
                throw new IllegalArgumentException(e);
            }
        }
        return result;
    }","  public void test0()  throws Throwable  {
      ClassLoader classLoader0 = ClassLoader.getSystemClassLoader();
      // Undeclared exception!
      try { 
        Utils.parseTypes("","", classLoader0);
        fail(""Expecting exception: IllegalArgumentException"");
      } catch(IllegalArgumentException e) {
         //
         // java.lang.ClassNotFoundException: 
         //
         verifyException(""org.apache.commons.weaver.normalizer.Utils"", e);
      }
  }"
2,"    static String validatePackageName(final String pkg) {
        if (StringUtils.isBlank(pkg)) {
            return """";
        }
        String result = pkg.trim();

        final String unexpected = ""Unexpected character %s at pos %s of package name \""%s\"""";

        boolean next = true;
        for (int pos = 0; pos < result.length(); pos++) {
            final char chr = result.charAt(pos);
            if (next) {
                next = false;
                Validate.isTrue(Character.isJavaIdentifierStart(chr), unexpected, chr, pos, result);
                continue;
            }
            if (chr == '/' || chr == '.') {
                next = true;
                continue;
            }
            Validate.isTrue(Character.isJavaIdentifierPart(chr), unexpected, chr, pos, result);
        }
        result = result.replace('.', '/');
        final int last = result.length() - 1;
        if (result.charAt(last) == '/') {
            result = result.substring(0, last);
        }
        return result;
    }","  public void test1()  throws Throwable  {
      String string0 = Utils.validatePackageName("" vs "");
}"
3,"    static Set<Class<?>> parseTypes(final String types, final ClassLoader classLoader) {
        final Set<Class<?>> result = new LinkedHashSet<>();
        for (final String token : StringUtils.splitByWholeSeparatorPreserveAllTokens(types, "","")) {
            try {
                result.add(ClassUtils.getClass(classLoader, token.trim().replace('/', '.')));
            } catch (final ClassNotFoundException e) {
                throw new IllegalArgumentException(e);
            }
        }
        return result;
    }","  public void test2()  throws Throwable  {
      ClassLoader classLoader0 = ClassLoader.getSystemClassLoader();
      Set<Class<?>> set0 = Utils.parseTypes("""", classLoader0);
}"
4,"    static String validatePackageName(final String pkg) {
        if (StringUtils.isBlank(pkg)) {
            return """";
        }
        String result = pkg.trim();

        final String unexpected = ""Unexpected character %s at pos %s of package name \""%s\"""";

        boolean next = true;
        for (int pos = 0; pos < result.length(); pos++) {
            final char chr = result.charAt(pos);
            if (next) {
                next = false;
                Validate.isTrue(Character.isJavaIdentifierStart(chr), unexpected, chr, pos, result);
                continue;
            }
            if (chr == '/' || chr == '.') {
                next = true;
                continue;
            }
            Validate.isTrue(Character.isJavaIdentifierPart(chr), unexpected, chr, pos, result);
        }
        result = result.replace('.', '/');
        final int last = result.length() - 1;
        if (result.charAt(last) == '/') {
            result = result.substring(0, last);
        }
        return result;
    }","  public void test3()  throws Throwable  {
      // Undeclared exception!
      try { 
        Utils.validatePackageName(""Array and element cannot both be null"");
        fail(""Expecting exception: IllegalArgumentException"");
      } catch(IllegalArgumentException e) {
         //
         // Unexpected character   at pos 5 of package name \""Array and element cannot both be null\""
         //
         verifyException(""org.apache.commons.lang3.Validate"", e);
      }
  }"
5,"    static Set<Class<?>> parseTypes(final String types, final ClassLoader classLoader) {
        final Set<Class<?>> result = new LinkedHashSet<>();
        for (final String token : StringUtils.splitByWholeSeparatorPreserveAllTokens(types, "","")) {
            try {
                result.add(ClassUtils.getClass(classLoader, token.trim().replace('/', '.')));
            } catch (final ClassNotFoundException e) {
                throw new IllegalArgumentException(e);
            }
        }
        return result;
    }","  public void test4()  throws Throwable  {
      ClassLoader classLoader0 = ClassLoader.getSystemClassLoader();
      // Undeclared exception!
      try { 
        Utils.parseTypes((String) null, classLoader0);
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""org.apache.commons.weaver.normalizer.Utils"", e);
      }
  }"
6,"    static Set<Class<?>> parseTypes(final String types, final ClassLoader classLoader) {
        final Set<Class<?>> result = new LinkedHashSet<>();
        for (final String token : StringUtils.splitByWholeSeparatorPreserveAllTokens(types, "","")) {
            try {
                result.add(ClassUtils.getClass(classLoader, token.trim().replace('/', '.')));
            } catch (final ClassNotFoundException e) {
                throw new IllegalArgumentException(e);
            }
        }
        return result;
    }","  public void test5()  throws Throwable  {
      ClassLoader classLoader0 = ClassLoader.getSystemClassLoader();
      Set<Class<?>> set0 = Utils.parseTypes(""byte"", classLoader0);
}"
7,"    static String validatePackageName(final String pkg) {
        if (StringUtils.isBlank(pkg)) {
            return """";
        }
        String result = pkg.trim();

        final String unexpected = ""Unexpected character %s at pos %s of package name \""%s\"""";

        boolean next = true;
        for (int pos = 0; pos < result.length(); pos++) {
            final char chr = result.charAt(pos);
            if (next) {
                next = false;
                Validate.isTrue(Character.isJavaIdentifierStart(chr), unexpected, chr, pos, result);
                continue;
            }
            if (chr == '/' || chr == '.') {
                next = true;
                continue;
            }
            Validate.isTrue(Character.isJavaIdentifierPart(chr), unexpected, chr, pos, result);
        }
        result = result.replace('.', '/');
        final int last = result.length() - 1;
        if (result.charAt(last) == '/') {
            result = result.substring(0, last);
        }
        return result;
    }","  public void test6()  throws Throwable  {
      String string0 = Utils.validatePackageName("""");
}"
8,"    static String validatePackageName(final String pkg) {
        if (StringUtils.isBlank(pkg)) {
            return """";
        }
        String result = pkg.trim();

        final String unexpected = ""Unexpected character %s at pos %s of package name \""%s\"""";

        boolean next = true;
        for (int pos = 0; pos < result.length(); pos++) {
            final char chr = result.charAt(pos);
            if (next) {
                next = false;
                Validate.isTrue(Character.isJavaIdentifierStart(chr), unexpected, chr, pos, result);
                continue;
            }
            if (chr == '/' || chr == '.') {
                next = true;
                continue;
            }
            Validate.isTrue(Character.isJavaIdentifierPart(chr), unexpected, chr, pos, result);
        }
        result = result.replace('.', '/');
        final int last = result.length() - 1;
        if (result.charAt(last) == '/') {
            result = result.substring(0, last);
        }
        return result;
    }","  public void test7()  throws Throwable  {
      String string0 = Utils.validatePackageName(""g.Q/"");
}"
9,"    public boolean process(final WeaveEnvironment weaveEnvironment, final Scanner scanner) {
        final Privilizer privilizer = new Privilizer(weaveEnvironment);

        final Set<Class<?>> privilizedTypes = new LinkedHashSet<>();

        // handle blueprints:
        for (final WeavableClass<?> type : scanner.scan(
            new ScanRequest().add(WeaveInterest.of(Privilizing.class, ElementType.TYPE))).getClasses()) {

            final Class<?> target = type.getTarget();
            if (privilizedTypes.add(target) && validateRequest(privilizer, type)) {
                privilizer.blueprint(target, type.getAnnotation(Privilizing.class));
            }
        }

        // handle remaining classes declaring @Privileged methods:

        for (final WeavableClass<?> type : scanner.scan(
            new ScanRequest().add(WeaveInterest.of(Privileged.class, ElementType.METHOD))).getClasses()) {
            final Class<?> target = type.getTarget();
            if (privilizedTypes.add(target) && validateRequest(privilizer, type)) {
                privilizer.privilize(target);
            }
        }
        return !privilizedTypes.isEmpty();
    }","  public void test0()  throws Throwable  {
      PrivilizerWeaver privilizerWeaver0 = new PrivilizerWeaver();
      Scanner scanner0 = mock(Scanner.class, new ViolatedAssumptionAnswer());
      // Undeclared exception!
      try { 
        privilizerWeaver0.process((WeaveEnvironment) null, scanner0);
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""org.apache.commons.weaver.privilizer.Privilizer"", e);
      }
  }"
