,method,test
0,,"  public void test0()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
}"
1,,"  public void test1()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
}"
2,,"  public void test2()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
}"
3,,"  public void test3()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
}"
4,,"  public void test4()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
}"
5,,"  public void test5()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
}"
6,,"  public void test6()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
}"
7,"  public String toString() {
    return method() + ' ' + url();
  }","  public void test7()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
}"
8,,"  public void test8()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
}"
9,,"  public void test9()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
}"
10,,"  public void test10()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
}"
11,"  public static HttpRequest trace(final CharSequence url)
      throws HttpRequestException {
    return new HttpRequest(url, METHOD_TRACE);
  }","  public void test11()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      HttpRequest httpRequest0 = HttpRequest.trace(uRL0);
}"
12,"  public static HttpRequest trace(final CharSequence url)
      throws HttpRequestException {
    return new HttpRequest(url, METHOD_TRACE);
  }","  public void test12()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      HttpRequest httpRequest0 = HttpRequest.trace(uRL0);
}"
13,"  public static HttpRequest trace(final CharSequence url)
      throws HttpRequestException {
    return new HttpRequest(url, METHOD_TRACE);
  }","  public void test13()  throws Throwable  {
      URL uRL0 = MockURL.getHttpExample();
      HttpRequest httpRequest0 = HttpRequest.trace(uRL0);
}"
